Site,Group,Taxa,Cover,Notes
47,Macroalgae,Halimeda,40,
47,Macroalgae,Dictyota,15,
47,Macroalgae,Amansia,35,
15,Coral,Porites_rus,78,
15,Coral,Porites_massive,10,
15,Coral,Montipora,10,
15,Coral,Pavona,2,
15,Macroalgae,Padina,95,
15,Macroalgae,Halimeda,5,
8,Coral,Porites_rus,80,
8,Coral,Porites_massive,5,
8,Coral,Montipora,5,
8,Coral,Pavona,4,
8,Coral,Pocillopora_acuta,1,
8,Coral,Acropora_pulchra,5,
8,Macroalgae,Turbinaria,70,
8,Macroalgae,Dictyota,30,
4,Coral,Porites_massive,30,
4,Coral,Montipora,30,
4,Coral,Pavona,30,
4,Coral,Porites_rus,10,
4,Macroalgae,Halimeda,40,
4,Macroalgae,Dictyota,40,
4,Macroalgae,Turbinaria,20,
3,Coral,Porites_massive,69,
3,Coral,Montipora,15,
3,Coral,Pocillopora,7,
3,Coral,Acropora,1,
3,Coral,Porites_rus,8,
3,Macroalgae,Dictyota,20,
3,Macroalgae,Halimeda,70,
3,Macroalgae,Turbinaria,10,
49,Coral,Porites_massive,30,
49,Coral,Porites_rus,35,
49,Coral,Montipora,35,
49,Macroalgae,Halimeda,40,
49,Macroalgae,Dictyota,30,
49,Macroalgae,Padina,30,
7,Coral,Porites_rus,50,
7,Coral,Montipora,30,
7,Coral,Porites_massive,20,
7,Macroalgae,Dictyota,50,
7,Macroalgae,Padina,20,
7,Macroalgae,Halimeda,20,
7,Macroalgae,Turbinaria,10,
14,Coral,Porites_massive,40,
14,Coral,Montipora,35,
14,Coral,Porites_rus,15,
14,Coral,Pocillopora,10,
14,Macroalgae,Dictyota,75,
14,Macroalgae,Turbinaria,25,
5,Coral,Porites_massive,70,
5,Coral,Montipora,20,
5,Coral,Pocillopora,10,
5,Macroalgae,Dictyota,50,
5,Macroalgae,Halimeda,30,
5,Macroalgae,Turbinaria,20,
11,Coral,Porites_massive,80,
11,Coral,Porites_rus,15,
11,Coral,Montipora,5,
11,Macroalgae,Padina,70,
11,Macroalgae,Dictyota,15,
11,Macroalgae,Turbinaria,15,
10,Coral,Porites_massive,70,
10,Coral,Montipora,20,
10,Coral,Porites_rus,5,
10,Coral,Pocillopora,5,
10,Macroalgae,Dictyota,60,
10,Macroalgae,Turbinaria,30,
10,Macroalgae,Halimeda,10,
6,Coral,Porites_massive,60,
6,Coral,Montipora,30,
6,Coral,Pocillopora,10,
6,Macroalgae,Turbinaria,50,
6,Macroalgae,Dictyota,25,
6,Macroalgae,Halimeda,15,
6,Macroalgae,Amansia,10,
161,Coral,Porites_massive,70,
161,Coral,Porites_rus,25,
161,Coral,Pocillopora,4,
161,Coral,Acropora,1,
161,Macroalgae,Turbinaria,100,
162,Coral,Porites_rus,95,
162,Coral,Porites_massive,4,
162,Coral,Pocillopora_acuta,1,
162,Macroalgae,Halimeda,10,
162,Macroalgae,Dictyota,50,
162,Macroalgae,Padina,20,
162,Macroalgae,Turbinaria,20,
167,Coral,Porites_massive,95,
167,Coral,Pocillopora,4,
167,Coral,Acropora,1,
167,Macroalgae,Turbinaria,95,
167,Macroalgae,Sargassum,5,
166,Coral,Porites_massive,75,
166,Coral,Pocillopora,10,
166,Coral,Acropora,10,
166,Coral,Montipora,5,
166,Macroalgae,Turbinaria,60,
166,Macroalgae,Dictyota,30,
168,Coral,Porites_massive,55,
168,Coral,Pocillopora,25,
168,Coral,Acropora,15,
168,Coral,Montipora,5,
168,Macroalgae,Turbinaria,100,
163,Coral,Porites_rus,65,
163,Coral,Porites_massive,30,
163,Coral,Montipora,3,
163,Coral,Pocillopora,1,
163,Coral,Acropora,1,
163,Macroalgae,Turbinaria,60,
163,Macroalgae,Sargassum,5,
163,Macroalgae,Dictyota,30,
163,Macroalgae,Halimeda,5,
171,Coral,Porites_massive,70,
171,Coral,Pocillopora,20,
171,Coral,Montipora,5,
171,Coral,Acropora,5,
171,Macroalgae,Turbinaria,80,
171,Macroalgae,Dictyota,15,
171,Macroalgae,Halimeda,5,
164,Coral,Porites_rus,80,
164,Coral,Porites_massive,15,
164,Coral,Pocillopora_acuta,5,
164,Macroalgae,Turbinaria,70,
164,Macroalgae,Dictyota,30,
165,Coral,Porites_rus,98,
165,Coral,Porites_massive,1,
165,Coral,Pocillopora_acuta,1,
165,Macroalgae,Turbinaria,60,
165,Macroalgae,Dictyota,30,
165,Macroalgae,Halimeda,10,
173,Coral,Porites_massive,70,
173,Coral,Pocillopora,20,
173,Coral,Montipora,8,
173,Coral,Acropora,2,
173,Macroalgae,Turbinaria,80,
173,Macroalgae,Dictyota,10,
173,Macroalgae,Sargassum,10,
182,Coral,Porites_massive,80,
182,Coral,Montipora,15,
182,Coral,Pocillopora,4,
182,Coral,Acropora,1,
182,Macroalgae,Dictyota,80,
182,Macroalgae,Asparagopsis,20,
181,Coral,Porites_massive,55,
181,Coral,Montipora,20,
181,Coral,Pocillopora,15,
181,Coral,Acropora,10,
181,Macroalgae,Turbinaria,70,
181,Macroalgae,Sargassum,20,
181,Macroalgae,Dictyota,10,
176,Coral,Porites_rus,20,
176,Coral,Porites_massive,55,
176,Coral,Montipora,5,
176,Coral,Porites_branching,5,
176,Coral,Pocillopora,10,
176,Coral,Acropora,5,
176,Macroalgae,Turbinaria,80,
176,Macroalgae,Dictyota,10,
176,Macroalgae,Sargassum,10,
169,Coral,Porites_massive,70,
169,Coral,Porites_rus,10,
169,Coral,Pocillopora,10,
169,Coral,Montipora,5,
169,Coral,Acropora,5,
169,Macroalgae,Dictyota,50,
169,Macroalgae,Turbinaria,40,
169,Macroalgae,Halimeda,10,
170,Coral,Porites_massive,70,
170,Coral,Porites_rus,15,
170,Coral,Montipora,7,
170,Coral,Pocillopora,7,
170,Coral,Acropora,1,
170,Macroalgae,Turbinaria,70,
170,Macroalgae,Dictyota,20,
170,Macroalgae,Halimeda,10,
172,Coral,Millepora,10,
172,Coral,Porites_branching,54,
172,Coral,Pocillopora,23,
172,Coral,Porites_rus,13,
172,Macroalgae,Turbinaria,100,
186,Coral,Porites_massive,70,
186,Coral,Porites_rus,10,
186,Coral,Pocillopora,10,
186,Coral,Montipora,10,
186,Macroalgae,Turbinaria,70,
186,Macroalgae,Dictyota,20,
186,Macroalgae,Halimeda,10,
175,Coral,Porites_rus,55,
175,Coral,Acropora_pulchra,25,
175,Coral,Porites_massive,15,
175,Coral,Pocillopora,5,
175,Macroalgae,Padina,65,
175,Macroalgae,Turbinaria,30,
175,Macroalgae,Halimeda,5,
187,Coral,Porites_massive,60,
187,Coral,Porites_rus,20,
187,Coral,Montipora,15,
187,Coral,Pocillopora,4,
187,Coral,Acropora,1,
187,Macroalgae,Turbinaria,60,
187,Macroalgae,Dictyota,20,
187,Macroalgae,Sargassum,20,
185,Coral,Porites_massive,50,
185,Coral,Montipora,15,
185,Coral,Pocillopora,25,
185,Coral,Acropora,10,
185,Macroalgae,Turbinaria,70,
185,Macroalgae,Sargassum,20,
185,Macroalgae,Dictyota,10,
183,Coral,Porites_massive,80,
183,Coral,Montipora,15,
183,Coral,Pocillopora,5,
183,Macroalgae,Turbinaria,70,
183,Macroalgae,Dictyota,30,
158,Coral,Porites_massive,100,
158,Macroalgae,Turbinaria,55,
158,Macroalgae,Dictyota,30,
158,Macroalgae,Padina,8,
158,Macroalgae,Sargassum,7,
156,Coral,Porites_massive,80,
156,Coral,Montipora,20,
156,Macroalgae,Turbinaria,35,
156,Macroalgae,Padina,35,
156,Macroalgae,Dictyota,25,
156,Macroalgae,Sargassum,5,
184,Coral,Porites_massive,70,
184,Coral,Montipora,15,
184,Coral,Pocillopora,10,
184,Coral,Acropora,5,
184,Macroalgae,Turbinaria,80,
184,Macroalgae,Sargassum,5,
184,Macroalgae,Dictyota,10,
184,Macroalgae,Halimeda,5,
188,Coral,Porites_massive,60,
188,Coral,Pocillopora,25,
188,Coral,Montipora,10,
188,Coral,Acropora,5,
188,Macroalgae,Turbinaria,80,
188,Macroalgae,Dictyota,20,
180,Coral,Porites_massive,50,
180,Coral,Pocillopora,40,
180,Coral,Acropora,10,
180,Macroalgae,Turbinaria,60,
180,Macroalgae,Sargassum,30,
180,Macroalgae,Asparagopsis,10,
179,Coral,Porites_massive,70,
179,Coral,Montipora,20,
179,Coral,Pocillopora,10,
179,Macroalgae,Turbinaria,50,
179,Macroalgae,Sargassum,50,
177,Coral,Porites_massive,50,
177,Coral,Porites_rus,20,
177,Coral,Millepora,10,
177,Coral,Porites_branching,15,
177,Coral,Pocillopora,5,
177,Macroalgae,Turbinaria,80,
177,Macroalgae,Sargassum,15,
177,Macroalgae,Dictyota,5,
178,Coral,Porites_massive,50,
178,Coral,Porites_rus,40,
178,Coral,Millepora,7,
178,Coral,Pocillopora,3,
178,Macroalgae,Turbinaria,85,
178,Macroalgae,Dictyota,5,
178,Macroalgae,Padina,5,
178,Macroalgae,Sargassum,5,
Cooks1,Coral,Porites_massive,80,
Cooks1,Coral,Porites_rus,10,
Cooks1,Coral,Montipora,7,
Cooks1,Coral,Pavona,3,
Cooks1,Macroalgae,Dictyota,35,
Cooks1,Macroalgae,Padina,35,
Cooks1,Macroalgae,Turbinaria,10,
Cooks1,Macroalgae,Halimeda,20,
159,Coral,Porites_massive,100,
159,Macroalgae,Padina,50,
159,Macroalgae,Turbinaria,35,
159,Macroalgae,Sargassum,5,
159,Macroalgae,Dictyota,5,
159,Macroalgae,Halimeda,5,
130,Coral,Porites_massive,70,
130,Coral,Porites_rus,20,
130,Coral,Montipora,5,
130,Coral,Pocillopora,5,
130,Macroalgae,Turbinaria,60,
130,Macroalgae,Dictyota,40,
136,Coral,Porites_massive,70,
136,Coral,Porites_rus,25,
136,Coral,Montipora,5,
136,Macroalgae,Turbinaria,50,
136,Macroalgae,Dictyota,35,
136,Macroalgae,Padina,10,
136,Macroalgae,Sargassum,5,
133,Coral,Acropora_pulchra,65,
133,Coral,Porites_rus,25,
133,Coral,Porites_massive,10,
133,Macroalgae,Padina,80,
133,Macroalgae,Dictyota,10,
133,Macroalgae,Turbinaria,10,
134,Coral,Porites_massive,50,
134,Coral,Porites_rus,20,
134,Coral,Acropora_pulchra,15,
134,Coral,Pavona,10,
134,Coral,Montipora,5,
134,Macroalgae,Turbinaria,50,
134,Macroalgae,Dictyota,50,
139,Coral,Porites_massive,99,
139,Coral,Pocillopora,1,
139,Macroalgae,Turbinaria,65,
139,Macroalgae,Sargassum,20,
139,Macroalgae,Padina,10,
139,Macroalgae,Dictyota,5,
131,Coral,Porites_massive,96,
131,Coral,Pocillopora,4,
131,Macroalgae,Sargassum,45,
131,Macroalgae,Turbinaria,45,
131,Macroalgae,Dictyota,10,
132,Coral,Porites_massive,80,
132,Coral,Montipora,15,
132,Coral,Pocillopora,3,
132,Coral,Porites_rus,1,
132,Macroalgae,Sargassum,40,
132,Macroalgae,Turbinaria,40,
132,Macroalgae,Dictyota,20,
129,Coral,Porites_massive,100,
129,Macroalgae,Sargassum,50,
129,Macroalgae,Turbinaria,30,
129,Macroalgae,Padina,10,
129,Macroalgae,Halimeda,5,
129,Macroalgae,Amansia,5,
138,Coral,Porites_massive,100,
138,Macroalgae,Halimeda,25,
138,Macroalgae,Dictyota,35,
138,Macroalgae,Padina,30,
138,Macroalgae,Turbinaria,5,
138,Macroalgae,Sargassum,5,
126,Coral,Porites_massive,90,
126,Coral,Porites_rus,8,
126,Coral,Pocillopora_acuta,2,
126,Macroalgae,Dictyota,30,
126,Macroalgae,Halimeda,30,
126,Macroalgae,Padina,30,
126,Macroalgae,Turbinaria,5,
127,Coral,Porites_massive,75,
127,Coral,Porites_rus,20,
127,Macroalgae,Padina,55,
127,Macroalgae,Dictyota,40,
127,Macroalgae,Turbinaria,2,
127,Macroalgae,Sargassum,2,
128,Coral,Porites_rus,96,
128,Coral,Acropora_pulchra,2,
128,Coral,Porites_massive,1,
128,Coral,Pavona,1,
128,Macroalgae,Dictyota,50,
128,Macroalgae,Turbinaria,40,
128,Macroalgae,Sargassum,15,
128,Macroalgae,Halimeda,5,
62,Coral,Porites_massive,50,
62,Coral,Montipora,50,
62,Macroalgae,Turbinaria,50,
62,Macroalgae,Dictyota,20,
62,Macroalgae,Amansia,15,
62,Macroalgae,Halimeda,15,
61,Coral,Porites_massive,50,
61,Coral,Montipora,50,
61,Macroalgae,Dictyota,30,
61,Macroalgae,Padina,35,
61,Macroalgae,Turbinaria,10,
61,Macroalgae,Sargassum,10,
61,Macroalgae,Halimeda,15,
64,Coral,Montipora,60,
64,Coral,Porites_massive,35,
64,Coral,Porites_rus,5,
64,Macroalgae,Turbinaria,80,
64,Macroalgae,Dictyota,20,
60,Coral,Pocillopora,50,
60,Coral,Acropora,15,
60,Coral,Millepora,25,
60,Coral,Porites_massive,10,
60,Macroalgae,Turbinaria,100,
53,Coral,Porites_massive,50,
53,Coral,Montipora,35,
53,Coral,Millepora,10,
53,Coral,Pocillopora,5,
53,Macroalgae,Dictyota,50,
53,Macroalgae,Turbinaria,50,
58,Coral,Porites_massive,70,
58,Coral,Montipora,20,
58,Coral,Pocillopora,5,
58,Coral,Acropora,1,
58,Macroalgae,Turbinaria,75,
58,Macroalgae,Dictyota,20,
58,Macroalgae,Sargassum,1,
58,Macroalgae,Halimeda,2,
55,Coral,Montipora,75,
55,Coral,Porites_massive,20,
55,Coral,Millepora,3,
55,Coral,Pocillopora,1,
55,Coral,Acropora,1,
55,Macroalgae,Turbinaria,50,
55,Macroalgae,Dictyota,40,
55,Macroalgae,Amansia,10,
54,Coral,Porites_massive,80,
54,Coral,Montipora,20,
54,Macroalgae,Dictyota,20,
54,Macroalgae,Amansia,20,
54,Macroalgae,Padina,30,
54,Macroalgae,Halimeda,10,
54,Macroalgae,Sargassum,10,
54,Macroalgae,Turbinaria,10,
56,Coral,Porites_massive,50,
56,Coral,Montipora,50,
56,Macroalgae,Turbinaria,35,
56,Macroalgae,Dictyota,35,
56,Macroalgae,Amansia,20,
56,Macroalgae,Halimeda,10,
59,Coral,Porites_massive,50,
59,Coral,Montipora,50,
59,Macroalgae,Turbinaria,70,
59,Macroalgae,Dictyota,15,
59,Macroalgae,Amansia,10,
59,Macroalgae,Halimeda,5,
57,Coral,Porites_massive,75,
57,Coral,Montipora,20,
57,Coral,Pocillopora,5,
57,Macroalgae,Turbinaria,50,
57,Macroalgae,Dictyota,30,
57,Macroalgae,Amansia,15,
57,Macroalgae,Halimeda,5,
65,Coral,Pocillopora,65,
65,Coral,Porites_massive,15,
65,Coral,Montipora,15,
65,Coral,Acropora,5,
65,Macroalgae,Turbinaria,100,
73,Coral,Porites_massive,90,
73,Coral,Montipora,8,
73,Coral,Pocillopora,2,
73,Macroalgae,Turbinaria,70,
73,Macroalgae,Dictyota,20,
73,Macroalgae,Halimeda,10,
72,Coral,Pocillopora,30,
72,Coral,Millepora,30,
72,Coral,Acropora,10,
72,Coral,Montipora,30,
72,Macroalgae,Turbinaria,100,
69,Coral,Acropora_pulchra,50,
69,Coral,Porites_massive,40,
69,Coral,Montipora,5,
69,Coral,Pocillopora,5,
69,Macroalgae,Turbinaria,40,
69,Macroalgae,Dictyota,50,
69,Macroalgae,Halimeda,10,
63,Coral,Porites_massive,55,
63,Coral,Montipora,40,
63,Coral,Pocillopora,5,
63,Macroalgae,Dictyota,50,
63,Macroalgae,Turbinaria,40,
63,Macroalgae,Halimeda,10,
45,Coral,Porites_massive,95,
45,Coral,Montipora,4,
45,Coral,Pocillopora,1,
45,Macroalgae,Padina,50,
45,Macroalgae,Dictyota,20,
45,Macroalgae,Turbinaria,20,
45,Macroalgae,Amansia,5,
45,Macroalgae,Halimeda,5,
44,Coral,Porites_massive,85,
44,Coral,Montipora,15,
44,Macroalgae,Dictyota,40,
44,Macroalgae,Turbinaria,40,
44,Macroalgae,Amansia,10,
44,Macroalgae,Halimeda,10,
43,Coral,Porites_massive,80,
43,Coral,Montipora,15,
43,Coral,Pocillopora,5,
43,Coral,Acropora,1,
43,Macroalgae,Dictyota,30,
43,Macroalgae,Amansia,30,
43,Macroalgae,Turbinaria,30,
43,Macroalgae,Halimeda,10,
51,Coral,Pocillopora,50,
51,Coral,Porites_massive,25,
51,Coral,Montipora,20,
51,Coral,Acropora,5,
51,Macroalgae,Turbinaria,70,
51,Macroalgae,Halimeda,30,
205,Coral,Pocillopora,50,
205,Coral,Porites_massive,40,
205,Coral,Millepora,10,
205,Macroalgae,Turbinaria,70,
205,Macroalgae,Halimeda,30,
52,Coral,Pocillopora,70,
52,Coral,Acropora,25,
52,Coral,Porites_massive,5,
52,Macroalgae,Turbinaria,100,
66,Coral,Porites_massive,95,
66,Coral,Pocillopora,5,
66,Macroalgae,Turbinaria,70,
66,Macroalgae,Halimeda,25,
66,Macroalgae,Dictyota,5,
22,Coral,Porites_massive,60,
22,Coral,Montipora,25,
22,Coral,Pocillopora,15,
22,Macroalgae,Turbinaria,80,
22,Macroalgae,Halimeda,20,
50,Coral,Porites_massive,60,
50,Coral,Montipora,20,
50,Coral,Pocillopora,20,
50,Macroalgae,Turbinaria,55,
50,Macroalgae,Dictyota,20,
50,Macroalgae,Halimeda,20,
50,Macroalgae,Sargassum,5,
26,Coral,Porites_massive,90,
26,Coral,Montipora,10,
26,Macroalgae,Turbinaria,100,
32,Coral,Porites_massive,80,
32,Coral,Montipora,20,
32,Macroalgae,Turbinaria,95,
32,Macroalgae,Halimeda,3,
32,Macroalgae,Amansia,2,
27,Coral,Porites_massive,70,
27,Coral,Montipora,20,
27,Coral,Pocillopora,10,
27,Macroalgae,Turbinaria,70,
27,Macroalgae,Halimeda,20,
27,Macroalgae,Dictyota,10,
202,Coral,Porites_massive,95,
202,Coral,Montipora,5,
202,Macroalgae,Turbinaria,40,
202,Macroalgae,Halimeda,30,
202,Macroalgae,Dictyota,30,
79,Coral,Porites_massive,80,
79,Coral,Pocillopora,10,
79,Coral,Montipora,6,
79,Coral,Acropora,3,
79,Macroalgae,Halimeda,90,
79,Macroalgae,Turbinaria,10,
28,Coral,Porites_massive,75,
28,Coral,Montipora,25,
28,Coral,Pocillopora,5,
28,Macroalgae,Halimeda,60,
28,Macroalgae,Turbinaria,25,
28,Macroalgae,Dictyota,15,
48,Coral,Porites_massive,50,
48,Coral,Montipora,45,
48,Coral,Porites_rus,2,
48,Coral,Pocillopora,1,
48,Macroalgae,Turbinaria,40,
48,Macroalgae,Dictyota,30,
48,Macroalgae,Halimeda,30,
24,Coral,Porites_massive,97,
24,Coral,Pocillopora_acuta,1,
24,Coral,Montipora,1,
24,Coral,Porites_rus,1,
24,Macroalgae,Padina,30,
24,Macroalgae,Amansia,15,
24,Macroalgae,Halimeda,15,
24,Macroalgae,Turbinaria,15,
24,Macroalgae,Dictyota,15,
30,Coral,Porites_massive,85,
30,Coral,Montipora,10,
30,Coral,Millepora,5,
30,Macroalgae,Turbinaria,70,
30,Macroalgae,Halimeda,15,
30,Macroalgae,Dictyota,15,
25,Coral,Porites_massive,45,
25,Coral,Montipora,50,
25,Coral,Porites_rus,5,
25,Macroalgae,Dictyota,80,
25,Macroalgae,Turbinaria,20,
31,Coral,Porites_massive,80,
31,Coral,Montipora,20,
31,Macroalgae,Turbinaria,80,
31,Macroalgae,Dictyota,10,
31,Macroalgae,Halimeda,10,
135,Coral,Porites_massive,70,
135,Coral,Porites_rus,10,
135,Coral,Montipora,10,
135,Coral,Pocillopora,10,
135,Macroalgae,Turbinaria,60,
135,Macroalgae,Dictyota,30,
135,Macroalgae,Sargassum,10,
125,Coral,Porites_rus,45,
125,Coral,Porites_massive,45,
125,Coral,Montipora,10,
125,Macroalgae,Dictyota,35,
125,Macroalgae,Turbinaria,45,
125,Macroalgae,Padina,15,
Opu2,Coral,Porites_rus,60,
Opu2,Coral,Porites_massive,20,
Opu2,Coral,Pavona,20,
Opu2,Macroalgae,Turbinaria,50,
Opu2,Macroalgae,Padina,30,
Opu2,Macroalgae,Sargassum,10,
Opu2,Macroalgae,Dictyota,5,
Opu2,Macroalgae,Halimeda,5,
Opu1,Coral,Porites_rus,40,
Opu1,Coral,Porites_massive,50,
Opu1,Coral,Montipora,10,
Opu1,Macroalgae,Turbinaria,50,
Opu1,Macroalgae,Padina,30,
Opu1,Macroalgae,Sargassum,10,
Opu1,Macroalgae,Dictyota,10,
119,Coral,Porites_massive,70,
119,Coral,Porites_rus,10,
119,Coral,Montipora,10,
119,Coral,Pocillopora,8,
119,Coral,Acropora,2,
119,Macroalgae,Turbinaria,70,
119,Macroalgae,Dictyota,30,
118,Coral,Porites_rus,45,
118,Coral,Porites_massive,25,
118,Coral,Montipora,30,
118,Macroalgae,Turbinaria,65,
118,Macroalgae,Dictyota,25,
118,Macroalgae,Sargassum,5,
118,Macroalgae,Halimeda,5,
120,Coral,Porites_massive,55,
120,Coral,Porites_rus,10,
120,Coral,Montipora,15,
120,Coral,Pocillopora,15,
120,Coral,Acropora,5,
120,Macroalgae,Turbinaria,80,
120,Macroalgae,Dictyota,10,
120,Macroalgae,Halimeda,5,
120,Macroalgae,Asparagopsis,5,
121,Coral,Porites_rus,50,
121,Coral,Porites_massive,50,
121,Macroalgae,Turbinaria,45,
121,Macroalgae,Dictyota,30,
121,Macroalgae,Halimeda,5,
121,Macroalgae,Sargassum,20,
122,Coral,Pocillopora,80,
122,Coral,Acropora,20,
122,Macroalgae,Turbinaria,90,
122,Macroalgae,Sargassum,10,
124,Coral,Pocillopora,90,
124,Coral,Acropora,10,
124,Macroalgae,Turbinaria,100,
200,Coral,Porites_rus,75,
200,Coral,Acropora_pulchra,20,
200,Coral,Porites_massive,5,
200,Macroalgae,Turbinaria,30,
200,Macroalgae,Dictyota,30,
200,Macroalgae,Padina,30,
200,Macroalgae,Halimeda,10,
123,Coral,Porites_rus,50,
123,Coral,Porites_massive,40,
123,Coral,Acropora_pulchra,10,
123,Macroalgae,Turbinaria,40,
123,Macroalgae,Padina,40,
123,Macroalgae,Dictyota,15,
123,Macroalgae,Halimeda,5,
1,Coral,Porites_rus,90,
1,Coral,Montipora,10,
1,Macroalgae,Turbinaria,20,
1,Macroalgae,Dictyota,40,
1,Macroalgae,Halimeda,40,
2,Coral,Porites_massive,60,
2,Coral,Montipora,35,
2,Coral,Pocillopora,2,
2,Macroalgae,Dictyota,40,
2,Macroalgae,Halimeda,20,
2,Macroalgae,Turbinaria,30,
2,Macroalgae,Amansia,10,
9,Coral,Porites_massive,50,
9,Coral,Montipora,45,
9,Coral,Pocillopora,2,
9,Macroalgae,Turbinaria,40,
9,Macroalgae,Dictyota,30,
9,Macroalgae,Halimeda,30,
12,Coral,Montipora,60,
12,Coral,Porites_massive,20,
12,Coral,Pocillopora,20,
12,Macroalgae,Turbinaria,70,
12,Macroalgae,Halimeda,20,
12,Macroalgae,Asparagopsis,5,
12,Macroalgae,Dictyota,5,
13,Coral,Porites_massive,55,
13,Coral,Montipora,25,
13,Coral,Porites_rus,10,
13,Coral,Pocillopora,5,
13,Coral,Porites_branching,5,
13,Macroalgae,Turbinaria,98,
13,Macroalgae,Halimeda,2,
16,Coral,Pocillopora_acuta,70,
16,Coral,Montipora,20,
16,Coral,Porites_massive,10,
16,Macroalgae,Turbinaria,30,
16,Macroalgae,Halimeda,40,
16,Macroalgae,Dictyota,30,
17,Coral,Porites_massive,60,
17,Coral,Montipora,30,
17,Coral,Pocillopora_acuta,10,
17,Macroalgae,Turbinaria,30,
17,Macroalgae,Sargassum,25,
17,Macroalgae,Dictyota,25,
17,Macroalgae,Amansia,10,
17,Macroalgae,Halimeda,10,
18,Coral,Pocillopora,80,
18,Coral,Porites_massive,20,
18,Macroalgae,Turbinaria,80,
18,Macroalgae,Halimeda,10,
18,Macroalgae,Dictyota,10,
19,Coral,Porites_massive,85,
19,Coral,Montipora,10,
19,Coral,Pocillopora,2,
19,Macroalgae,Turbinaria,70,
19,Macroalgae,Halimeda,20,
19,Macroalgae,Amansia,10,
20,Coral,Porites_massive,65,
20,Coral,Montipora,25,
20,Coral,Pocillopora,5,
20,Macroalgae,Turbinaria,40,
20,Macroalgae,Halimeda,40,
20,Macroalgae,Dictyota,10,
21,Coral,Porites_rus,65,
21,Coral,Pavona,10,
21,Coral,Pocillopora_acuta,10,
21,Coral,Montipora,10,
21,Macroalgae,Halimeda,40,
21,Macroalgae,Dictyota,40,
21,Macroalgae,Turbinaria,10,
21,Macroalgae,Padina,10,
29,Coral,Montipora,55,
29,Coral,Porites_massive,40,
29,Coral,Pocillopora,5,
29,Macroalgae,Turbinaria,65,
29,Macroalgae,Dictyota,10,
29,Macroalgae,Halimeda,10,
29,Macroalgae,Amansia,15,
33,Coral,Porites_massive,70,
33,Coral,Montipora,20,
33,Coral,Pocillopora,3,
33,Macroalgae,Turbinaria,40,
33,Macroalgae,Halimeda,30,
33,Macroalgae,Dictyota,20,
33,Macroalgae,Amansia,10,
